edinet_code,year,avg_salary,avg_age,employees_nonconsolidated,source,period_end,doc_id
E02569,2025,7030837,43.8,614.0,tag,2025-03-31,S100W6HM
E02569,2026,7377774,43.7,631.0,tag,2026-03-31,S100YFSO
E02570,2017,4050000,35.4,222.0,textblock,2016-10-31,S1009IGW
E02570,2018,4179000,35.3,219.0,textblock,2017-10-31,S100C6ZI
E02570,2019,4290000,35.9,207.0,textblock,2018-10-31,S100F0HP
E02570,2020,4365000,36.6,191.0,tag,2019-10-31,S100HU5Y
E02570,2021,4737000,35.5,199.0,tag,2020-10-31,S100KLOC
E02570,2022,4524000,35.4,207.0,tag,2021-10-31,S100N9UC
E02570,2023,4620000,36.6,191.0,tag,2022-10-31,S100Q199
E02570,2024,4808000,37.5,176.0,tag,2023-10-31,S100SP3E
E02570,2025,5127000,39.1,159.0,tag,2024-10-31,S100V5FN
E02570,2026,5324000,39.1,156.0,tag,2025-10-31,S100XHJG
E02571,2017,5714123,44.2,168.0,textblock,2017-03-31,S100AOD8
E02571,2018,5835444,46.8,168.0,textblock,2018-03-31,S100DEJG
E02571,2019,6202544,47.2,159.0,tag,2019-03-31,S100G8BA
E02571,2020,6258682,46.1,172.0,tag,2020-03-31,S100J0BT
E02571,2021,5879048,46.5,169.0,tag,2021-03-31,S100LTQ2
E02571,2022,6024773,44.4,166.0,tag,2022-03-31,S100OI3H
E02571,2023,6277124,45.9,153.0,tag,2023-03-31,S100R6L6
E02571,2024,6615449,48.7,149.0,tag,2024-03-31,S100TRLN
E02571,2025,6672707,47.3,149.0,tag,2025-03-31,S100W7U0
E02571,2026,6093935,46.2,164.0,tag,2026-03-31,S100YISR
E02572,2017,6984016,39.4,465.0,textblock,2017-03-31,S100AO9A
E02572,2018,7345464,39.9,480.0,textblock,2018-03-31,S100DC7Y
E02572,2019,7664559,40.7,490.0,tag,2019-03-31,S100G5LW
E02572,2020,7436781,40.6,515.0,tag,2020-03-31,S100IX5S
E02572,2021,6955287,40.7,526.0,tag,2021-03-31,S100LM2F
E02572,2022,6937011,41.6,512.0,tag,2022-03-31,S100OBYI
E02572,2023,7480812,42.1,503.0,tag,2023-03-31,S100R3I8
E02572,2024,8060007,42.4,523.0,tag,2024-03-31,S100TSAD
E02572,2025,8057458,42.5,554.0,tag,2025-03-31,S100W4VE
E02572,2026,8076038,42.5,568.0,tag,2026-03-31,S100YIO8
E02574,2017,6257808,40.6,145.0,textblock,2017-03-31,S100AQ71
E02574,2018,6664655,40.0,85.0,textblock,2018-03-31,S100DEWH
E02574,2019,6965248,40.0,100.0,tag,2019-03-31,S100GC19
E02574,2020,6708732,40.0,271.0,tag,2020-03-31,S100J0ZE
E02574,2021,6485749,39.2,1177.0,tag,2021-03-31,S100LSW2
E02574,2022,6485388,39.0,1223.0,tag,2022-03-31,S100OM8Q
E02574,2023,6393119,39.4,1221.0,tag,2023-03-31,S100R8OS
E02574,2024,6613516,39.8,1222.0,tag,2024-03-31,S100TVDV
E02574,2025,6737287,40.0,1282.0,tag,2025-03-31,S100W6HO
E02574,2026,6876895,40.0,1298.0,tag,2026-03-31,S100YIM9
E02576,2017,5609867,35.4,1120.0,textblock,2017-09-30,S100C13Q
E02576,2018,5491562,35.5,1162.0,textblock,2018-09-30,S100ETQW
E02576,2019,5558000,35.8,1184.0,tag,2019-09-30,S100HMJU
E02576,2020,5392329,36.1,1283.0,tag,2020-09-30,S100KFBE
E02576,2021,5423338,35.9,1334.0,tag,2021-09-30,S100N49E
E02576,2022,5475320,36.4,1326.0,tag,2022-09-30,S100PUY0
E02576,2023,5702356,36.9,1335.0,tag,2023-09-30,S100SJ9M
E02576,2025,5973753,36.6,1446.0,tag,2025-09-30,S100XBSF
E02578,2017,7883000,39.8,454.0,textblock,2017-03-31,S100AKNE
E02578,2018,8355000,39.8,468.0,textblock,2018-03-31,S100DDW6
E02578,2019,8866000,39.7,485.0,tag,2019-03-31,S100G6A6
E02578,2020,8094000,39.9,508.0,tag,2020-03-31,S100IY3M
E02578,2021,8573000,40.2,524.0,tag,2021-03-31,S100LN0W
E02578,2022,8891000,40.7,558.0,tag,2022-03-31,S100OEE3
E02578,2023,8998000,40.3,591.0,tag,2023-03-31,S100R1DD
E02578,2024,9374000,40.4,623.0,tag,2024-03-31,S100TRHF
E02578,2025,10055000,40.5,661.0,tag,2025-03-31,S100W0GD
E02578,2026,9720000,40.8,725.0,tag,2026-03-31,S100YGOV
E02579,2017,6391960,41.84,393.0,textblock,2017-03-31,S100AR4X
E02579,2018,6384323,42.3,392.0,textblock,2018-03-31,S100DHNY
E02579,2019,6637793,42.48,397.0,tag,2019-03-31,S100GBO7
E02579,2020,6416460,43.63,414.0,tag,2020-03-31,S100J23B
E02579,2021,6424718,42.23,420.0,tag,2021-03-31,S100LUL0
E02579,2022,6371799,42.31,415.0,tag,2022-03-31,S100OL57
E02579,2023,6505813,42.86,409.0,tag,2023-03-31,S100R9JE
E02579,2024,6814649,42.68,413.0,tag,2024-03-31,S100TWEG
E02579,2025,7365780,42.7,423.0,tag,2025-03-31,S100W8R8
E02579,2026,7556519,42.6,421.0,tag,2026-03-31,S100YHOM
E02580,2017,7727089,42.2,573.0,textblock,2017-03-31,S100AQAR
E02580,2018,8294000,42.2,581.0,textblock,2018-03-31,S100D8EF
E02580,2019,7740000,42.2,580.0,tag,2019-03-31,S100G16V
E02580,2020,7475000,42.1,573.0,tag,2020-03-31,S100IZK7
E02580,2021,6742000,41.9,593.0,tag,2021-03-31,S100LN3A
E02580,2022,6992000,42.5,599.0,tag,2022-03-31,S100OBL9
E02580,2023,7601000,42.9,592.0,tag,2023-03-31,S100QZVQ
E02580,2024,7730000,42.8,596.0,tag,2024-03-31,S100TXYV
E02580,2025,7950000,42.6,616.0,tag,2025-03-31,S100W2KS
E02580,2026,8262000,42.7,620.0,tag,2026-03-31,S100YFEF
E02584,2017,7264138,49.5,15.0,textblock,2017-03-31,S100APU8
E02584,2018,7000731,48.3,20.0,textblock,2018-03-31,S100DG6J
E02584,2019,7768946,48.5,20.0,tag,2019-03-31,S100GL1N
E02584,2020,6222375,43.9,821.0,tag,2020-03-31,S100J45E
E02584,2021,6583805,43.2,822.0,tag,2021-03-31,S100LTV3
