edinet_code,year,ordinary_income,oi_basis,employees_consolidated,employees_nonconsolidated,source_year,back
E00161,2023,7258000000,consolidated,,,2026,3
E00161,2024,8548000000,consolidated,,,2026,2
E00161,2025,11235000000,consolidated,,,2026,1
E00161,2026,8306000000,consolidated,768,362,2026,0
E00167,2022,2569008000,consolidated,,,2026,4
E00167,2023,709350000,consolidated,,,2026,3
E00167,2024,1764662000,consolidated,,,2026,2
E00167,2025,1328510000,consolidated,,,2026,1
E00167,2026,1369940000,consolidated,537,451,2026,0
E00168,2022,6163000000,consolidated,,,2026,4
E00168,2023,6617000000,consolidated,,,2026,3
E00168,2024,6446000000,consolidated,,,2026,2
E00168,2025,8138000000,consolidated,,,2026,1
E00168,2026,11466000000,consolidated,967,815,2026,0
E00173,2022,358000000,consolidated,,,2026,4
E00173,2023,-323000000,consolidated,,,2026,3
E00173,2024,-800000000,consolidated,,,2026,2
E00173,2025,2639000000,consolidated,,,2026,1
E00173,2026,3788000000,consolidated,1483,790,2026,0
E00175,2022,2864000000,consolidated,,,2026,4
E00175,2023,4358000000,consolidated,,,2026,3
E00175,2024,5073000000,consolidated,,,2026,2
E00175,2025,4070000000,consolidated,,,2026,1
E00175,2026,5006000000,consolidated,1143,778,2026,0
E00176,2022,4358000000,consolidated,,,2026,4
E00176,2023,2647000000,consolidated,,,2026,3
E00176,2024,4078000000,consolidated,,,2026,2
E00176,2025,5788000000,consolidated,,,2026,1
E00176,2026,6278000000,consolidated,1169,1011,2026,0
E00179,2022,2375267000,consolidated,,,2026,4
E00179,2023,2133524000,consolidated,,,2026,3
E00179,2024,2654568000,consolidated,,,2026,2
E00179,2025,2950287000,consolidated,,,2026,1
E00179,2026,3814957000,consolidated,1005,587,2026,0
E00181,2022,6145000000,consolidated,,,2026,4
E00181,2023,5567000000,consolidated,,,2026,3
E00181,2024,7012000000,consolidated,,,2026,2
E00181,2025,8536000000,consolidated,,,2026,1
E00181,2026,9327000000,consolidated,2693,2206,2026,0
E00182,2022,443090000,consolidated,,,2026,4
E00182,2023,559059000,consolidated,,,2026,3
E00182,2024,804643000,consolidated,,,2026,2
E00182,2025,712283000,consolidated,,,2026,1
E00182,2026,520838000,consolidated,244,208,2026,0
E00183,2022,10818000000,consolidated,,,2026,4
E00183,2023,13001000000,consolidated,,,2026,3
E00183,2024,19852000000,consolidated,,,2026,2
E00183,2025,19938000000,consolidated,,,2026,1
E00183,2026,24790000000,consolidated,5525,1824,2026,0
E00185,2022,3304676000,consolidated,,,2026,4
E00185,2023,3081712000,consolidated,,,2026,3
E00185,2024,3910194000,consolidated,,,2026,2
E00185,2025,5955292000,consolidated,,,2026,1
E00185,2026,7817974000,consolidated,1434,1124,2026,0
E00189,2022,1403125000,nonconsolidated,,,2026,4
E00189,2023,1338057000,nonconsolidated,,,2026,3
E00189,2024,1461234000,nonconsolidated,,,2026,2
E00189,2025,1674952000,nonconsolidated,,,2026,1
E00189,2026,1627651000,nonconsolidated,,797,2026,0
E00194,2022,8095000000,consolidated,,,2026,4
E00194,2023,9288000000,consolidated,,,2026,3
E00194,2024,11918000000,consolidated,,,2026,2
E00194,2025,23479000000,consolidated,,,2026,1
E00194,2026,35770000000,consolidated,2568,2185,2026,0
E00201,2022,7313000000,consolidated,,,2026,4
E00201,2023,6704000000,consolidated,,,2026,3
E00201,2024,5820000000,consolidated,,,2026,2
E00201,2025,6912000000,consolidated,,,2026,1
E00201,2026,8121000000,consolidated,1235,1110,2026,0
E00204,2022,963000000,consolidated,,,2026,4
E00204,2023,1008000000,consolidated,,,2026,3
E00204,2024,1401000000,consolidated,,,2026,2
E00204,2025,1924000000,consolidated,,,2026,1
E00204,2026,2094000000,consolidated,391,346,2026,0
E00207,2022,3327000000,consolidated,,,2026,4
E00207,2023,2531000000,consolidated,,,2026,3
E00207,2024,3645000000,consolidated,,,2026,2
E00207,2025,4611000000,consolidated,,,2026,1
E00207,2026,5451000000,consolidated,1354,1153,2026,0
E00209,2022,1262587000,consolidated,,,2026,4
E00209,2023,2720520000,consolidated,,,2026,3
E00209,2024,2385589000,consolidated,,,2026,2
E00209,2025,2877554000,consolidated,,,2026,1
E00209,2026,1692010000,consolidated,1666,1333,2026,0
E00218,2022,103671000000,consolidated,,,2026,4
E00218,2023,103898000000,consolidated,,,2026,3
E00218,2024,108720000000,consolidated,,,2026,2
E00218,2025,129455000000,consolidated,,,2026,1
E00218,2026,139169000000,consolidated,19326,8400,2026,0
E00221,2022,15583000000,consolidated,,,2026,4
E00221,2023,17225000000,consolidated,,,2026,3
E00221,2024,17671000000,consolidated,,,2026,2
E00221,2025,18369000000,consolidated,,,2026,1
E00221,2026,20771000000,consolidated,689,539,2026,0
E00225,2022,3385000000,consolidated,,,2026,4
E00225,2023,3557000000,consolidated,,,2026,3
E00225,2024,6374000000,consolidated,,,2026,2
E00225,2025,9935000000,consolidated,,,2026,1
E00225,2026,16493000000,consolidated,981,856,2026,0
E00227,2022,7366000000,consolidated,,,2026,4
E00227,2023,7914000000,consolidated,,,2026,3
E00227,2024,9725000000,consolidated,,,2026,2
E00227,2025,11976000000,consolidated,,,2026,1
E00227,2026,15881000000,consolidated,1698,1256,2026,0
E00232,2022,516173000,consolidated,,,2026,4
E00232,2023,694524000,consolidated,,,2026,3
E00232,2024,557777000,consolidated,,,2026,2
E00232,2025,1164713000,consolidated,,,2026,1
E00232,2026,1331931000,consolidated,384,224,2026,0
E00233,2022,1700696000,consolidated,,,2026,4
E00233,2023,1998053000,consolidated,,,2026,3
E00233,2024,3085761000,consolidated,,,2026,2
E00233,2025,3483806000,consolidated,,,2026,1
E00233,2026,4597624000,consolidated,783,581,2026,0
E00238,2022,1111000000,consolidated,,,2026,4
E00238,2023,226000000,consolidated,,,2026,3
E00238,2024,550000000,consolidated,,,2026,2
E00238,2025,851000000,consolidated,,,2026,1
E00238,2026,1476000000,consolidated,491,434,2026,0
E00242,2022,2898184000,consolidated,,,2026,4
E00242,2023,2785014000,consolidated,,,2026,3
E00242,2024,2726059000,consolidated,,,2026,2
E00242,2025,3906938000,consolidated,,,2026,1
E00242,2026,4809888000,consolidated,1044,809,2026,0
E00250,2022,3328960000,nonconsolidated,,,2026,4
E00250,2023,3882241000,nonconsolidated,,,2026,3
E00250,2024,4096026000,nonconsolidated,,,2026,2
E00250,2025,7604601000,nonconsolidated,,,2026,1
E00250,2026,7508553000,nonconsolidated,,1004,2026,0
E00251,2022,1661816000,consolidated,,,2026,4
E00251,2023,1299078000,consolidated,,,2026,3
E00251,2024,2273985000,consolidated,,,2026,2
E00251,2025,2371087000,consolidated,,,2026,1
E00251,2026,3912713000,consolidated,445,331,2026,0
E00253,2022,1178848000,nonconsolidated,,,2026,4
E00253,2023,446107000,nonconsolidated,,,2026,3
E00253,2024,1551162000,nonconsolidated,,,2026,2
E00253,2025,2457424000,nonconsolidated,,,2026,1
E00253,2026,2366631000,nonconsolidated,,373,2026,0
E00255,2022,2545000000,nonconsolidated,,,2026,4
E00255,2023,849000000,nonconsolidated,,,2026,3
E00255,2024,1927000000,nonconsolidated,,,2026,2
E00255,2025,2110000000,nonconsolidated,,,2026,1
E00255,2026,2708000000,nonconsolidated,,823,2026,0
E00260,2022,1095756000,nonconsolidated,,,2026,4
E00260,2023,1273214000,nonconsolidated,,,2026,3
E00260,2024,1204546000,nonconsolidated,,,2026,2
E00260,2025,1502765000,nonconsolidated,,,2026,1
E00260,2026,1384902000,nonconsolidated,,282,2026,0
E00265,2022,2601000000,consolidated,,,2026,4
E00265,2023,3345000000,consolidated,,,2026,3
E00265,2024,5968000000,consolidated,,,2026,2
E00265,2025,9184000000,consolidated,,,2026,1
E00265,2026,8290000000,consolidated,1698,1366,2026,0
E00268,2022,1624059000,consolidated,,,2026,4
