rank_adj,rank_raw,rank_delta,sec_code,name,tse33,listed,avg_age,avg_tenure,avg_salary,salary35,factor,employees_nonconsolidated,employees_consolidated,emp_ratio,badge,salary35_fit,industry,source,period_end,doc_id
190,205,15,1866,北野建設株式会社,建設業,上場,44.5,15.9,9298000.0,8395156,0.9029,778.0,1143.0,0.6807,,8076051,建設業,tag,2026-03-31,S100YM22
191,209,18,1301,株式会社　極洋,水産・農林業,上場,41.6,16.5,9268717.0,8390438,0.9052,769.0,2542.0,0.3025,,8055626,産業計,tag,2026-03-31,S100YE8K
192,265,73,,成田国際空港株式会社,倉庫・運輸関連,非上場,40.1,12.3,8917588.0,8390009,0.9408,900.0,3330.0,0.2703,,7904425,運輸業,textblock,2026-03-31,S100YHTZ
193,195,2,1852,株式会社淺沼組,建設業,上場,44.9,21.8,9350232.0,8389787,0.8973,1264.0,1806.0,0.6999,,8146185,建設業,tag,2026-03-31,S100YD5O
194,160,-34,7433,伯東株式会社,卸売業,上場,43.86,13.82,9675485.0,8386943,0.8668,727.0,1504.0,0.4834,,8372727,卸売業・小売業,tag,2026-03-31,S100YI3S
195,126,-69,8242,エイチ・ツー・オー　リテイリング株式会社,小売業,上場,46.2,18.5,10012000.0,8383417,0.8373,210.0,7775.0,0.027,本社のみ,8822803,卸売業・小売業,tag,2026-03-31,S100YDD0
196,174,-22,6841,横河電機株式会社,電気機器,上場,44.0,16.0,9486104.0,8373727,0.8827,2240.0,18313.0,0.1223,,8214330,製造業,tag,2026-03-31,S100YE3H
197,228,31,6503,三菱電機株式会社,電気機器,上場,40.5,15.3,9134603.0,8365887,0.9158,29949.0,150386.0,0.1991,,8044909,製造業,tag,2026-03-31,S100YD3V
198,189,-9,2269,明治ホールディングス株式会社,食料品,上場,43.0,18.0,9380000.0,8365074,0.8918,298.0,17103.0,0.0174,本社のみ,8101495,製造業,tag,2026-03-31,S100YILP
199,346,147,9766,コナミグループ株式会社,情報・通信業,上場,35.5,10.8,8502600.0,8358311,0.983,259.0,5186.0,0.0499,本社のみ,8390182,情報通信業,tag,2026-03-31,S100YKX5
200,244,44,9005,東急株式会社,陸運業,上場,42.0,12.0,9034606.0,8357019,0.925,1551.0,24262.0,0.0639,本社のみ,7828372,運輸業,tag,2026-03-31,S100YE63
201,213,12,8117,中央自動車工業株式会社,卸売業,上場,41.0,15.0,9224000.0,8354370,0.9057,282.0,348.0,0.8103,,8067997,卸売業・小売業,tag,2026-03-31,S100YFX5
202,222,20,1861,株式会社　熊谷組,建設業,上場,44.0,18.6,9179351.0,8353404,0.91,2740.0,4507.0,0.6079,,7948703,建設業,tag,2026-03-31,S100YK9Q
203,201,-2,4488,ＡＩ　ｉｎｓｉｄｅ株式会社,情報・通信業,上場,39.4,3.04,9321000.0,8352645,0.8961,130.0,,,,8369893,情報通信業,tag,2026-03-31,S100YJYU
